,price,bedrooms,bathrooms,sqft_living,floors,sqft_above,sqft_basement,yr_built
0,313000.0,3.0,1.5,1340,1.5,1340,0,1955
2,342000.0,3.0,2.0,1930,1.0,1930,0,1966
3,420000.0,3.0,2.25,2000,1.0,1000,1000,1963
4,550000.0,4.0,2.5,1940,1.0,1140,800,1976
5,490000.0,2.0,1.0,880,1.0,880,0,1938
6,335000.0,2.0,2.0,1350,1.0,1350,0,1976
7,482000.0,4.0,2.5,2710,2.0,2710,0,1989
8,452500.0,3.0,2.5,2430,1.0,1570,860,1985
9,640000.0,4.0,2.0,1520,1.5,1520,0,1945
10,463000.0,3.0,1.75,1710,1.0,1710,0,1948
12,588500.0,3.0,1.75,2330,1.0,1970,360,1980
13,365000.0,3.0,1.0,1090,1.0,1090,0,1955
14,1200000.0,5.0,2.75,2910,1.5,2910,0,1939
15,242500.0,3.0,1.5,1200,1.0,1200,0,1965
16,419000.0,3.0,1.5,1570,1.0,1570,0,1956
17,367500.0,4.0,3.0,3110,2.0,3110,0,1997
18,257950.0,3.0,1.75,1370,1.0,1370,0,1987
19,275000.0,3.0,1.5,1180,1.0,1180,0,1983
20,750000.0,3.0,1.75,2240,2.0,1550,690,1923
21,435000.0,4.0,1.0,1450,1.0,1450,0,1954
22,626000.0,3.0,2.25,1750,2.5,1470,280,2005
23,612500.0,4.0,2.5,2730,2.0,2730,0,1991
24,495000.0,4.0,1.75,1600,1.0,1130,470,1959
25,285000.0,3.0,2.5,2090,1.0,1360,730,1987
26,615000.0,3.0,1.75,2360,1.0,1360,1000,1948
27,698000.0,4.0,2.25,2200,1.5,1300,900,1920
28,675000.0,5.0,2.5,2820,2.0,2820,0,1979
29,790000.0,3.0,2.5,2600,1.0,1700,900,1951
30,382500.0,4.0,1.75,1560,1.0,1560,0,1967
31,499950.0,4.0,2.5,2860,2.0,2190,670,2004
32,650000.0,4.0,2.0,1820,1.5,1640,180,1945
33,625000.0,4.0,2.5,2820,2.0,2820,0,2014
34,400000.0,4.0,2.5,3630,1.5,2300,1330,1979
35,604000.0,3.0,2.5,3240,2.0,3240,0,1995
36,440000.0,2.0,1.0,800,1.0,800,0,1944
37,287200.0,3.0,3.0,1850,1.0,1090,760,1992
38,403000.0,3.0,2.0,1960,1.0,1650,310,1957
39,750000.0,3.0,2.5,2390,1.0,1440,950,1955
40,335000.0,3.0,2.25,1580,1.0,1580,0,1978
41,260000.0,4.0,2.0,1480,1.0,1480,0,1974
42,308500.0,2.0,1.0,850,1.0,850,0,1950
43,439950.0,3.0,2.5,1770,2.0,1770,0,1990
44,235000.0,2.0,1.0,1210,1.0,1210,0,1949
45,315000.0,3.0,1.0,1160,1.0,1160,0,1968
46,437500.0,3.0,2.25,1970,2.0,1970,0,1977
47,407500.0,3.0,2.5,1930,2.0,1930,0,1996
48,445700.0,3.0,2.5,1270,3.0,1270,0,2001
49,838000.0,4.0,2.5,3310,2.0,3310,0,2001
50,630000.0,4.0,2.75,2710,2.0,2710,0,2000
51,550000.0,3.0,1.75,2910,1.5,2910,0,1979
52,805000.0,3.0,2.0,2710,1.5,1880,830,1929
53,284000.0,3.0,1.75,1800,1.0,1800,0,1968
54,470000.0,5.0,2.5,2210,1.0,1460,750,1976
55,430000.0,4.0,1.5,1920,1.0,1070,850,1954
56,491500.0,4.0,1.75,2190,1.0,2190,0,1968
57,785000.0,5.0,3.25,3660,2.0,3660,0,2006
58,385000.0,3.0,3.25,1320,2.0,1040,280,2008
59,295000.0,2.0,2.5,1630,2.0,1280,350,2009
60,555000.0,4.0,2.5,3310,2.0,3310,0,2012
61,459990.0,3.0,2.5,2680,2.0,2680,0,2013
62,625000.0,4.0,3.25,2730,1.0,1560,1170,2007
63,300000.0,3.0,2.5,2540,2.0,2540,0,2006
64,625000.0,4.0,2.75,2920,2.0,2920,0,2012
65,553000.0,2.0,1.0,900,1.0,900,0,1944
66,379880.0,3.0,2.5,1650,1.0,1130,520,1986
67,310000.0,3.0,1.0,1010,1.0,1010,0,1973
68,775000.0,2.0,2.5,2680,1.0,2680,0,2004
69,365000.0,3.0,2.5,2200,1.0,1570,630,1988
70,331950.0,4.0,2.5,2530,2.0,2010,520,1990
71,783500.0,3.0,2.5,2850,2.0,1990,860,1980
72,628000.0,4.0,2.0,2280,1.0,1140,1140,1900
